"id","price","room_type"
766186374255566464,85,"Private room"
17685710,54,"Private room"
947184015001854592,70,"Private room"
51042544,90,"Entire home/apt"
845209255123786880,69,"Private room"
861425260494982784,99,"Entire home/apt"
31612381,55,"Private room"
1236186462408809472,72,"Private room"
44229,110,"Private room"
746356369135138304,14,"Shared room"
49077426,51,"Private room"
1026374295595084544,84,"Entire home/apt"
28250448,90,"Private room"
28518077,75,"Private room"
1123508465565975936,56,"Private room"
46065989,49,"Private room"
713136715421041280,49,"Private room"
564682824371493120,480,"Entire home/apt"
1173054019210100224,175,"Entire home/apt"
855628419776805888,181,"Entire home/apt"
1213918539223846656,100,"Private room"
1234877710945845504,53,"Private room"
994767238822016384,98,"Entire home/apt"
53211837,62,"Private room"
625101948280782592,166,"Entire home/apt"
53666929,190,"Entire home/apt"
608883254672780288,44,"Private room"
52267290,48,"Private room"
1066102862445188096,240,"Entire home/apt"
41976399,50,"Private room"
28165121,82,"Private room"
1061633131713767680,351,"Private room"
1198752324486006784,111,"Private room"
1105895433928720768,752,"Entire home/apt"
1234737114054544384,46,"Private room"
1177572288353147136,206,"Private room"
1132949981878599296,39,"Private room"
691109892839269248,179,"Entire home/apt"
827846475904191616,34,"Private room"
633939380745222400,275,"Entire home/apt"
47181609,75,"Private room"
582372,69,"Private room"
599114974037879168,800,"Private room"
704838,95,"Entire home/apt"
48440192,125,"Entire home/apt"
836909205162247552,49,"Private room"
618390733290143744,83,"Entire home/apt"
54164726,145,"Private room"
8281889,150,"Private room"
45139002,89,"Private room"
1155316551298844160,203,"Entire home/apt"
1.223346263919e+18,76,"Private room"
1174005538017583104,250,"Entire home/apt"
1046352281440824960,170,"Entire home/apt"
1096604925689700096,36,"Private room"
798082812604809472,129,"Private room"
1013106338310034304,250,"Entire home/apt"
996659251355170048,141,"Entire home/apt"
53320872,43,"Private room"
1176936179607448576,45,"Private room"
43931225,43,"Private room"
29152320,120,"Entire home/apt"
1229887426591375616,250,"Entire home/apt"
775422512052165888,108,"Entire home/apt"
