id,room_type,accommodates,bathrooms,bedrooms,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value,wifi,parking,dryer,washer,kitchen,property_agg,log_price,superhost_t
30104723,3,2,1.0,1.0,30,3.6375861597263857,3.4339872044851463,4.81,4.9,4.71,1,1,1,1,1,5,5.220355825078324,1
30132508,2,2,1.0,1.0,2,5.298317366548036,5.666426688112432,4.89,4.87,4.81,1,1,1,1,1,3,5.598421958998375,1
30169107,2,2,1.0,1.0,30,4.204692619390966,4.8283137373023015,4.9,4.9,4.84,1,1,1,0,1,5,4.709530201312334,1
30175606,2,2,1.0,1.0,30,5.049856007249537,0.0,0.0,0.0,0.0,1,1,1,1,1,5,4.0943445622221,0
30236202,3,5,1.0,2.0,30,5.093750200806762,4.962844630259907,4.36,4.5,4.31,1,1,1,0,1,5,4.07753744390572,0
30254229,3,8,2.0,3.0,30,5.056245805348308,5.308267697401205,4.94,4.98,4.95,1,1,1,1,1,5,5.147494476813453,1
30264512,2,2,1.0,1.0,30,5.0106352940962555,4.897839799950911,4.47,4.66,4.49,1,1,0,0,1,5,3.6375861597263857,1
30279712,3,2,1.0,1.0,30,5.7745515455444085,4.672828834461906,4.89,4.91,4.73,1,1,1,1,1,5,4.812184355372417,1
30326749,3,4,1.0,1.0,30,5.765191102784844,2.1972245773362196,4.78,4.78,4.89,1,0,1,1,1,5,4.941642422609304,0
30337531,3,2,1.0,1.0,30,4.875197323201151,3.4965075614664802,4.42,4.52,4.55,1,0,0,0,1,5,4.727387818712341,1
30349066,3,2,1.0,1.0,30,5.869296913133774,2.302585092994046,5.0,5.0,4.8,1,0,1,0,1,5,5.0106352940962555,0
30352010,3,4,2.0,2.0,30,5.594711379601839,0.0,0.0,0.0,0.0,1,0,1,1,0,6,5.66988092298052,0
30361847,3,2,1.0,1.0,31,4.2626798770413155,3.044522437723423,5.0,5.0,4.9,1,0,1,0,1,5,4.787491742782046,1
30378982,2,2,1.0,1.0,4,5.713732805509369,4.948759890378168,4.99,4.99,4.85,1,1,1,1,1,4,5.802118375377063,1
30396953,3,4,1.0,0.0,30,5.123963979403259,5.081404364984463,4.96,4.99,4.9,1,1,1,0,1,5,4.941642422609304,0
30400465,2,2,1.0,1.0,30,5.181783550292085,4.382026634673881,4.91,4.94,4.84,1,1,1,0,0,3,4.976733742420574,0
30417877,2,1,1.0,1.0,30,4.74493212836325,4.564348191467836,4.89,4.96,4.92,1,1,0,0,1,1,3.912023005428146,0
30447204,3,7,2.5,3.0,30,4.465908118654584,4.3694478524670215,4.97,4.97,4.85,1,1,1,1,1,3,6.150602768446279,0
30465706,2,1,3.0,1.0,60,5.262690188904886,3.332204510175204,5.0,5.0,4.93,1,1,1,1,1,3,4.23410650459726,1
30494093,3,4,1.0,1.0,30,4.418840607796598,4.836281906951478,4.95,4.97,4.93,1,1,1,0,1,5,5.003946305945459,0
